Date,Region,District,Town,Grid,Power_Consumption_MWh,Power_Generation_MWh,Power_Outage
2015-01-01,North East Region,District Four,Town Five,Grid Four,1405,1432,B
2015-01-02,Upper East Region,District Two,Town Five,Grid Five,1091,1382,A
2015-01-03,Ashanti Region,District Three,Town Five,Grid Two,784,1786,A
2015-01-04,Central Region,District Two,Town One,Grid Five,607,1639,A
2015-01-05,Savannah Region,District Four,Town Four,Grid One,1880,409,A
2015-01-06,Greater Accra Region,District Two,Town Two,Grid Two,1340,1317,B
2015-01-07,Upper East Region,District Five,Town Five,Grid Two,560,1628,A
2015-01-08,Northern Region,District Two,Town Three,Grid Two,1762,1018,B
2015-01-09,Upper East Region,District one,Town Three,Grid One,1587,848,A
2015-01-10,Central Region,District Five,Town Two,Grid One,765,729,A
2015-01-11,Volta Region,District Two,Town One,Grid Three,1881,1475,A
2015-01-12,Upper East Region,District Two,Town Five,Grid Four,1769,898,A
2015-01-13,Central Region,District Five,Town Five,Grid Three,963,1236,A
2015-01-14,Upper West Region,District Five,Town Three,Grid Three,572,1597,B
2015-01-15,Brong-Ahafo Region,District one,Town One,Grid Five,1122,1163,A
2015-01-16,Ahafo Region,District Four,Town Five,Grid One,571,1285,A
2015-01-17,Savannah Region,District Two,Town Four,Grid One,1222,1546,B
2015-01-18,Central Region,District Two,Town Four,Grid Three,529,1732,A
2015-01-19,Central Region,District Three,Town Two,Grid Four,1428,817,A
2015-01-20,Savannah Region,District Four,Town Four,Grid Two,1886,1662,A
2015-01-21,North East Region,District Four,Town One,Grid One,1567,1392,A
2015-01-22,Brong-Ahafo Region,District Five,Town Two,Grid One,1837,1064,A
2015-01-23,Oti Region,District Four,Town Two,Grid Four,1934,768,B
2015-01-24,Eastern Region,District Three,Town Four,Grid Four,1815,455,B
2015-01-25,Northern Region,District Five,Town Five,Grid Four,1410,1275,A
2015-01-26,Central Region,District Four,Town Five,Grid Three,1715,1080,A
2015-01-27,Eastern Region,District Two,Town Five,Grid One,1333,1370,B
2015-01-28,Ashanti Region,District Three,Town Two,Grid Three,737,426,A
2015-01-29,Savannah Region,District Three,Town One,Grid Three,1666,769,A
2015-01-30,Western North Region,District one,Town Two,Grid Two,1741,1030,A
2015-01-31,Northern Region,District Five,Town Four,Grid Three,909,793,A
2015-02-01,Ashanti Region,District Two,Town Five,Grid Three,1265,1780,A
2015-02-02,Bono East Region,District Three,Town Five,Grid One,1872,862,A
2015-02-03,Oti Region,District one,Town Four,Grid Four,652,1794,A
2015-02-04,Northern Region,District Three,Town Four,Grid Two,1661,865,B
2015-02-05,Volta Region,District one,Town Three,Grid Four,758,516,A
2015-02-06,Greater Accra Region,District Four,Town Two,Grid Three,1500,669,B
2015-02-07,Bono East Region,District Two,Town Two,Grid Three,1363,1366,A
2015-02-08,North East Region,District Four,Town Three,Grid Five,1033,845,A
2015-02-09,Volta Region,District Two,Town Five,Grid One,862,1308,A
2015-02-10,Ashanti Region,District Five,Town Four,Grid Two,1677,912,A
2015-02-11,Upper East Region,District Five,Town Three,Grid Three,682,1638,A
2015-02-12,Ahafo Region,District Five,Town Three,Grid Four,984,1757,A
2015-02-13,Northern Region,District Three,Town Five,Grid Three,884,538,A
2015-02-14,Eastern Region,District Three,Town Four,Grid Three,1425,1334,A
2015-02-15,Oti Region,District Three,Town Five,Grid One,977,1388,A
2015-02-16,Bono East Region,District one,Town Two,Grid Four,1713,684,A
2015-02-17,Brong-Ahafo Region,District Three,Town Four,Grid One,1422,1502,A
2015-02-18,Eastern Region,District one,Town Two,Grid Five,1598,531,A
2015-02-19,Upper East Region,District one,Town Four,Grid Two,909,1105,A
2015-02-20,Volta Region,District Four,Town Five,Grid One,1838,538,A
2015-02-21,Ashanti Region,District Four,Town Four,Grid Two,838,1464,A
2015-02-22,Upper East Region,District Four,Town Four,Grid One,1357,572,A
2015-02-23,Bono East Region,District Two,Town Five,Grid Three,640,667,A
2015-02-24,Eastern Region,District one,Town Four,Grid Four,1911,452,A
2015-02-25,North East Region,District Three,Town One,Grid Two,1900,1570,A
2015-02-26,Ahafo Region,District Five,Town Five,Grid One,1224,793,A
2015-02-27,Savannah Region,District one,Town One,Grid Three,1038,716,B
2015-02-28,Ahafo Region,District Three,Town Three,Grid Two,836,1415,A
2015-03-01,Western North Region,District Two,Town Five,Grid Three,1716,750,A
2015-03-02,North East Region,District one,Town Four,Grid Four,732,1694,B
2015-03-03,Savannah Region,District Three,Town Two,Grid One,1105,821,A
2015-03-04,Ahafo Region,District Four,Town Two,Grid Two,1612,1374,A
2015-03-05,Eastern Region,District Two,Town Two,Grid Four,1546,675,A
2015-03-06,Ashanti Region,District Two,Town Two,Grid Four,1203,1497,B
2015-03-07,Eastern Region,District one,Town Two,Grid Two,1758,686,A
2015-03-08,Northern Region,District Three,Town One,Grid Three,940,1127,B
2015-03-09,North East Region,District Four,Town Five,Grid Three,1340,939,A
2015-03-10,Central Region,District Three,Town Three,Grid Four,1636,1627,A
2015-03-11,Greater Accra Region,District one,Town Three,Grid Five,1663,590,A
2015-03-12,Bono East Region,District Five,Town Three,Grid Three,1247,954,B
2015-03-13,Savannah Region,District Five,Town Four,Grid Five,1386,1790,A
2015-03-14,North East Region,District Five,Town One,Grid Four,1591,1791,A
2015-03-15,Northern Region,District Two,Town Five,Grid Two,1172,473,A
